Site,Date,Quadrant,ID,Species,Distance,BasalDiameter,CrownDiameter,Height,StemCount
US-SRG,5/28/2025,NE,51,MES,12.5,21,2.9,2.15,
US-SRG,5/28/2025,NE,51,,,,2,,
US-SRG,5/28/2025,NE,52,CHO,21.8,4,0.6,0.34,
US-SRG,5/28/2025,NE,52,,,,0.18,,
US-SRG,5/28/2025,NE,53,MES,30.2,33,3.1,3,
US-SRG,5/28/2025,NE,53,,,,4.1,,
US-SRG,5/28/2025,NE,54,MES,36,35,8,5,
US-SRG,5/28/2025,NE,54,,,,8.3,,
US-SRG,5/28/2025,NE,55,MES,39.4,30,2.1,2.1,
US-SRG,5/28/2025,NE,55,,,,2.4,,
US-SRG,5/28/2025,NE,56,MES,41.1,43,8,5.3,
US-SRG,5/28/2025,NE,56,,,,7.8,,
US-SRG,5/28/2025,NE,57,MES,47.8,30,4.4,2.5,
US-SRG,5/28/2025,NE,57,,,,3.3,,
US-SRG,5/28/2025,NE,58,MES,58.6,23,3.3,2.6,8
US-SRG,5/28/2025,NE,58,,,,3.1,,
US-SRG,5/28/2025,NE,59,CHAC,61,38,3,1.85,12
US-SRG,5/28/2025,NE,59,,,,0.28,,
US-SRG,5/28/2025,NE,60,CHAC,62.3,51,2.6,2,26
US-SRG,5/28/2025,NE,60,,,,2.3,,
US-SRG,5/28/2025,NE,61,MES,63.15,28,3.5,3.36,1
US-SRG,5/28/2025,NE,61,,,,3.2,,
US-SRG,5/28/2025,NE,62,MES,64.4,28,3,2.8,
US-SRG,5/28/2025,NE,62,,,,2.7,,
US-SRG,5/28/2025,NE,63,MES,68.9,20,2.9,2.6,5
US-SRG,5/28/2025,NE,63,,,,2.9,,
US-SRG,5/28/2025,NE,64,CHAC,73.1,34,2.5,2.6,
US-SRG,5/28/2025,NE,64,,,,2.5,,
US-SRG,5/28/2025,NE,65,MES,71.1,4,0.9,1.2,4
US-SRG,5/28/2025,NE,65,,,,0.7,,
US-SRG,5/28/2025,NE,66,MES,71.2,24,4.1,3.8,8
US-SRG,5/28/2025,NE,66,,,,4.4,,
US-SRG,5/28/2025,NE,67,MES,72,28,3.1,2.5,
US-SRG,5/28/2025,NE,67,,,,2.8,,
US-SRG,5/28/2025,NE,68,CHAC,72,24,1.9,2.3,
US-SRG,5/28/2025,NE,68,,,,,,
US-SRG,5/28/2025,NE,69,CHAC,72,6,0.6,1.5,
US-SRG,5/28/2025,NE,69,,,,0.8,,
US-SRG,5/28/2025,NE,70,CHAC,72,6,1.2,2.1,
US-SRG,5/28/2025,NE,70,,,,0.8,,
US-SRG,5/28/2025,NE,71,CHAC,72,6,1.3,2,
US-SRG,5/28/2025,NE,71,,,,0.7,,
US-SRG,5/28/2025,NE,72,CHAC,72,8,1,1.9,
US-SRG,5/28/2025,NE,72,,,,1.2,,
US-SRG,5/28/2025,NE,73,CHAC,75.1,6,1.2,1.4,
US-SRG,5/28/2025,NE,73,,,,1.1,,
US-SRG,5/28/2025,NE,74,MES,75.2,24,2.4,2.3,8
US-SRG,5/28/2025,NE,74,,,,2.5,,
US-SRG,5/28/2025,NE,75,MES,75.2,22,2.3,1.8,6
US-SRG,5/28/2025,NE,75,,,,2.8,,
US-SRG,5/28/2025,NE,76,MES,77,43,7.5,5,1
