Site,Date,Quadrant,ID,Species,Distance,BasalDiameter,CrownDiameter,Height,StemCount
US-SRG,5/28/2025,SW,203,,,,1,,
US-SRG,5/28/2025,SW,204,MES,83.1,14,3,2.3,
US-SRG,5/28/2025,SW,204,,,,5.5,,
US-SRG,5/28/2025,SW,205,MES,83.2,13,6,4.2,
US-SRG,5/28/2025,SW,205,,,,4.1,,
US-SRG,5/28/2025,SW,206,MES,83.2,8.7,3.8,2.7,
US-SRG,5/28/2025,SW,206,,,,4,,
US-SRG,5/28/2025,SW,207,MES,83.1,8,3,3.4,
US-SRG,5/28/2025,SW,207,,,6,8,,
US-SRG,5/28/2025,SW,207,,,4,3.9,,
US-SRG,5/28/2025,SW,207,,,2,,,
US-SRG,5/28/2025,SW,208,MES,83.64,13,2.4,2.8,
US-SRG,5/28/2025,SW,208,,,4,2.1,,
US-SRG,5/28/2025,SW,208,,,2,,,
US-SRG,5/28/2025,SW,209,MES,88.35,2.5,4.1,2.6,
US-SRG,5/28/2025,SW,209,,,15.5,3.9,,
US-SRG,5/28/2025,SW,210,HYSL,86.27,0.8,1.2,1.4,
US-SRG,5/28/2025,SW,210,,,,1,,
US-SRG,5/28/2025,SW,211,MES,86.25,21,3.1,2.5,
US-SRG,5/28/2025,SW,211,,,,4,,
US-SRG,5/28/2025,SW,212,HYSL,86.25,0.9,1.3,1.5,
US-SRG,5/28/2025,SW,212,,,,0.9,,
US-SRG,5/28/2025,SW,213,MES,86.25,2.8,2.2,2.2,
US-SRG,5/28/2025,SW,213,,,3.1,1.5,,
US-SRG,5/28/2025,SW,214,MES,86,2.2,2.2,2.2,
US-SRG,5/28/2025,SW,214,,,2.8,,,
US-SRG,5/28/2025,SW,215,CHO,84,3,0.2,0.3,
US-SRG,5/28/2025,SW,215,,,,0.1,,
US-SRG,5/28/2025,SW,216,MES,86.1,3,2.2,3,
US-SRG,5/28/2025,SW,216,,,3.1,1.8,,
US-SRG,5/28/2025,SW,217,MES,97,25,9.1,6.1,
US-SRG,5/28/2025,SW,217,,,,7,,
US-SRG,5/28/2025,SW,218,OPT,98,,0.3,0.2,
US-SRG,5/28/2025,SW,218,,,,0.17,,
US-SRG,5/28/2025,SW,219,OPT,98,,0.2,0.1,
US-SRG,5/28/2025,SW,219,,,,0.5,,
US-SRG,5/28/2025,SW,220,OPT,98.6,,0.3,0.1,
US-SRG,5/28/2025,SW,220,,,,0.1,,
US-SRG,5/28/2025,SW,221,MES,98,3,2.2,1.8,
US-SRG,5/28/2025,SW,221,,,2,2.9,,
US-SRG,5/28/2025,SW,222,HYSL,99,0.7,0.9,1.7,
US-SRG,5/28/2025,SW,222,,,,1.3,,
US-SRG,5/28/2025,SW,223,MES,99,2,1.2,1.7,
US-SRG,5/28/2025,SW,223,,,1,0.8,,
US-SRG,5/28/2025,SW,223,,,0.5,,,
US-SRG,5/28/2025,SW,224,MES,99,1.7,1.8,1.4,
US-SRG,5/28/2025,SW,224,,,1,1.8,,
US-SRG,5/28/2025,SW,225,MES,100,3,1.6,2.1,
US-SRG,5/28/2025,SW,225,,,2.5,2.3,,
US-SRG,5/28/2025,SW,226,MES,96,13,3,4,
US-SRG,5/28/2025,SW,226,,,1,5.9,,
US-SRG,5/28/2025,SW,227,MES,100,15,5.1,4.5,
US-SRG,5/28/2025,SW,227,,,,3.7,,
US-SRG,5/28/2025,SW,228,MES,72.4,9.8,4.2,3.5,
US-SRG,5/28/2025,SW,228,,,9.7,4.9,,
US-SRG,5/28/2025,SW,229,MES,75.9,22,5,5.7,
US-SRG,5/28/2025,SW,229,,,,5.5,,
US-SRG,5/28/2025,SW,230,MES,75.4,2.3,1.9,1,
US-SRG,5/28/2025,SW,230,,,1.3,1,,
US-SRG,5/28/2025,SW,230,,,0.4,,,
US-SRG,5/28/2025,SW,231,MES,72.5,2.5,1.8,2.4,
US-SRG,5/28/2025,SW,231,,,3.3,2,,
US-SRG,5/28/2025,SW,231,,,3.2,,,
US-SRG,5/28/2025,SW,232,MES,73.5,3.4,2.9,2.3,
US-SRG,5/28/2025,SW,232,,,1.3,2.3,,
US-SRG,5/28/2025,SW,232,,,2.4,,,
US-SRG,5/28/2025,SW,232,,,2.5,,,
US-SRG,5/28/2025,SW,233,MES,80.6,6.2,1.8,4.7,
US-SRG,5/28/2025,SW,233,,,5.3,1.9,,
US-SRG,5/28/2025,SW,234,MES,79.5,21,4.8,5.5,
US-SRG,5/28/2025,SW,234,,,,4.9,,
US-SRG,5/28/2025,SW,235,MES,78.5,18,4,1,
US-SRG,5/28/2025,SW,235,,,,4,,
US-SRG,5/28/2025,SW,236,MES,76.4,1,2,1.3,
US-SRG,5/28/2025,SW,236,,,1,1.8,,
US-SRG,5/28/2025,SW,236,,,1.15,,,
US-SRG,5/28/2025,SW,236,,,0.7,,,
US-SRG,5/28/2025,SW,237,CHO,47.89,1,0.03,0.2,
US-SRG,5/28/2025,SW,237,,,,0.02,,
US-SRG,5/28/2025,SW,238,MES,58.79,15,2.8,4.3,
US-SRG,5/28/2025,SW,238,,,,3.9,,
US-SRG,5/28/2025,SW,239,GTN,60.1,19,3.2,2.9,
US-SRG,5/28/2025,SW,239,,,,3.1,,
US-SRG,5/28/2025,SW,240,HYSL,59.99,0.5,0.8,2,
US-SRG,5/28/2025,SW,240,,,,0.9,,
US-SRG,5/28/2025,SW,241,MES,61,2.8,1,2.5,
US-SRG,5/28/2025,SW,241,,,,1.7,,
US-SRG,5/28/2025,SW,242,MES,61.49,17,3.3,4.5,
US-SRG,5/28/2025,SW,242,,,,3.7,,
US-SRG,5/28/2025,SW,243,MES,64.78,3.7,3,3.9,
US-SRG,5/28/2025,SW,243,,,,3,,
US-SRG,5/28/2025,SW,243,,,,3,,
US-SRG,5/28/2025,SW,244,MES,71.47,1.3,1.2,1,
US-SRG,5/28/2025,SW,244,,,1.2,1.3,,
US-SRG,5/28/2025,SW,244,,,1.2,,,
US-SRG,5/28/2025,SW,245,MES,70.23,10.1,2.5,3.3,
US-SRG,5/28/2025,SW,245,,,,2,,
US-SRG,5/28/2025,SW,246,MES,70.3,24,5.8,5.1,
US-SRG,5/28/2025,SW,246,,,12,6.2,,
US-SRG,5/28/2025,SW,247,MES,69.02,3.1,1.4,1.7,
US-SRG,5/28/2025,SW,247,,,,1.2,,
US-SRG,5/28/2025,SW,248,CHO,73.65,3,0.3,1.1,
US-SRG,5/28/2025,SW,248,,,,0.2,,
US-SRG,5/28/2025,SW,249,GTN,73.04,11,3.2,3.6,
US-SRG,5/28/2025,SW,249,,,,3.5,,
US-SRG,5/28/2025,SW,250,MES,77.59,5,4,3.8,
US-SRG,5/28/2025,SW,250,,,,3.6,,
US-SRG,5/28/2025,SW,251,MES,78.01,0.03,0.7,0.4,
US-SRG,5/28/2025,SW,251,,,,0.3,,
US-SRG,5/28/2025,SW,252,MES,80.09,16,3.6,3.7,
US-SRG,5/28/2025,SW,252,,,,4,,
US-SRG,5/28/2025,SW,253,OPT,77.7,,0.15,0.1,
US-SRG,5/28/2025,SW,253,,,,0.5,,
US-SRG,5/28/2025,SW,254,HYSL,77.6,0.08,0.9,1.5,
US-SRG,5/28/2025,SW,254,,,,1,,
US-SRG,5/28/2025,SW,255,MES,75.4,1.2,1.3,1.2,
US-SRG,5/28/2025,SW,255,,,,0.6,,
US-SRG,5/28/2025,SW,256,MES,78.78,,5.3,4.7,
US-SRG,5/28/2025,SW,256,,,,7,,
US-SRG,5/28/2025,SW,257,MES,78.3,25,5.1,4.3,
US-SRG,5/28/2025,SW,257,,,,4.9,,
US-SRG,5/28/2025,SW,258,MES,75.8,2,0.8,1.4,
US-SRG,5/28/2025,SW,258,,,1,0.75,,
US-SRG,5/28/2025,SW,258,,,0.5,,,
US-SRG,5/28/2025,SW,259,MES,73.6,23,4.2,5.5,
US-SRG,5/28/2025,SW,259,,,,5.8,,
US-SRG,5/28/2025,SW,260,HYSL,76.1,1.2,1.1,1.5,
US-SRG,5/28/2025,SW,260,,,,1.2,,
US-SRG,5/28/2025,SW,261,MES,80.1,1.5,0.4,0.7,
US-SRG,5/28/2025,SW,261,,,,1,,
US-SRG,5/28/2025,SW,262,MES,85.3,5.7,2.7,2.8,
US-SRG,5/28/2025,SW,262,,,2.5,3.8,,
US-SRG,5/28/2025,SW,262,,,2.4,,,
US-SRG,5/28/2025,SW,262,,,2.6,,,
US-SRG,5/28/2025,SW,262,,,3.9,,,
US-SRG,5/28/2025,SW,262,,,3.2,,,
US-SRG,5/28/2025,SW,262,,,4.2,,,
US-SRG,5/28/2025,SW,263,MES,87.2,1.8,2.3,1.6,
US-SRG,5/28/2025,SW,263,,,2,1.9,,
US-SRG,5/28/2025,SW,263,,,1.8,,,
US-SRG,5/28/2025,SW,263,,,2.2,,,
US-SRG,5/28/2025,SW,264,MES,85.5,31,7.4,6,
US-SRG,5/28/2025,SW,264,,,,6.7,,
US-SRG,5/28/2025,SW,265,CHO,84.1,4,0.3,1.1,
US-SRG,5/28/2025,SW,265,,,,0.2,,
US-SRG,5/28/2025,SW,266,CHAC,86.8,0.6,0.6,0.4,
US-SRG,5/28/2025,SW,266,,,,0.5,,
US-SRG,5/28/2025,SW,267,MES,89.1,7.9,2,2.5,
US-SRG,5/28/2025,SW,267,,,1.8,3,,
US-SRG,5/28/2025,SW,267,,,3.4,,,
US-SRG,5/28/2025,SW,267,,,3,,,
US-SRG,5/28/2025,SW,268,UNK,91.1,0.6,0.6,0.3,
US-SRG,5/28/2025,SW,268,,,,0.4,,
US-SRG,5/28/2025,SW,269,MES,97.4,1.6,0.8,1.3,
US-SRG,5/28/2025,SW,269,,,1.4,1.1,,
US-SRG,5/28/2025,SW,270,MES,93,2.5,2.8,1.6,
US-SRG,5/28/2025,SW,270,,,3.4,2.2,,
US-SRG,5/28/2025,SW,271,MES,92.2,3.8,2.7,3.1,
US-SRG,5/28/2025,SW,271,,,1.4,2.4,,
US-SRG,5/28/2025,SW,271,,,3.7,,,
US-SRG,5/28/2025,SW,271,,,3.4,,,
US-SRG,5/28/2025,SW,272,MES,92.1,3.7,2.2,2.6,
US-SRG,5/28/2025,SW,272,,,3.4,3,,
US-SRG,5/28/2025,SW,272,,,2.6,,,
US-SRG,5/28/2025,SW,272,,,2.6,,,
US-SRG,5/28/2025,SW,273,CHAC,85.2,1.4,1.9,1.4,
US-SRG,5/28/2025,SW,273,,,0.8,2,,
US-SRG,5/28/2025,SW,273,,,1.9,,,
US-SRG,5/28/2025,SW,274,MES,84.6,10.5,1.7,3.4,
US-SRG,5/28/2025,SW,274,,,,1.3,,
US-SRG,5/28/2025,SW,275,MES,84.4,17,4.1,3.5,
US-SRG,5/28/2025,SW,275,,,,3.7,,
US-SRG,5/28/2025,SW,276,MES,88.2,34,3.8,2.8,
US-SRG,5/28/2025,SW,276,,,,0.29,,
US-SRG,5/28/2025,SW,277,MES,93.7,47,6.3,3.4,
US-SRG,5/28/2025,SW,277,,,,6.4,,
US-SRG,5/28/2025,SW,278,MES,79.1,17,2,2.6,
US-SRG,5/28/2025,SW,278,,,,2.1,,
US-SRG,5/28/2025,SW,279,MES,79,11,2.7,2.3,
US-SRG,5/28/2025,SW,279,,,,2.2,,
US-SRG,5/28/2025,SW,280,MES,86.4,7,1.6,1.2,
US-SRG,5/28/2025,SW,280,,,,1.95,,
US-SRG,6/4/2025,NW,281,MES,18.19,18,3.9,3.8,1
US-SRG,6/4/2025,NW,281,,,,2.8,,
US-SRG,6/4/2025,NW,282,MES,19.7,26,6.5,4.5,1
US-SRG,6/4/2025,NW,282,,,,7,,
US-SRG,6/4/2025,NW,283,GTN,20.32,7,3,4,9
US-SRG,6/4/2025,NW,283,,,,2.6,,
US-SRG,6/4/2025,NW,284,MES,20.18,6.3,2.5,2.2,1
US-SRG,6/4/2025,NW,284,,,,3,,
US-SRG,6/4/2025,NW,285,MES,28.02,14,3.2,2.6,2
US-SRG,6/4/2025,NW,285,,,,3,,
US-SRG,6/4/2025,NW,286,GTN,27.65,1.4,0.8,1.5,10
US-SRG,6/4/2025,NW,286,,,,0.7,,
US-SRG,6/4/2025,NW,287,GTN,27.6,1.1,1.8,1.8,6
US-SRG,6/4/2025,NW,287,,,,1.4,,
US-SRG,6/4/2025,NW,288,MES,31.17,12,3.3,3.7,2
US-SRG,6/4/2025,NW,288,,,,3.8,,
US-SRG,6/4/2025,NW,289,MES,31.95,1.6,1.2,1.3,4
US-SRG,6/4/2025,NW,289,,,,1.5,,
US-SRG,6/4/2025,NW,290,MES,34.14,5.6,3.2,3.3,5
US-SRG,6/4/2025,NW,290,,,,2.8,,
US-SRG,6/4/2025,NW,291,MES,36.17,2.3,1.8,1.8,8
US-SRG,6/4/2025,NW,291,,,,2,,
US-SRG,6/4/2025,NW,292,MES,42.82,4.5,4.8,3.8,4
US-SRG,6/4/2025,NW,292,,,,4.8,,
US-SRG,6/4/2025,NW,293,MES,41.4,12,2.1,2.7,2
US-SRG,6/4/2025,NW,293,,,,1.8,,
US-SRG,6/4/2025,NW,294,MES,42.13,1.8,1,1.3,3
US-SRG,6/4/2025,NW,294,,,,1.8,,
US-SRG,6/4/2025,NW,295,MES,53.48,3.2,3,2.3,3
US-SRG,6/4/2025,NW,295,,,,2.8,,
US-SRG,6/4/2025,NW,296,MES,55.45,2.8,2,2.3,5
US-SRG,6/4/2025,NW,296,,,,1.3,,
US-SRG,6/4/2025,NW,297,MES,61.6,3.9,4,2.6,8
US-SRG,6/4/2025,NW,297,,,,3.8,,
US-SRG,6/4/2025,NW,298,GTN,66.15,1.8,2,3.8,1
US-SRG,6/4/2025,NW,298,,,,2,,
US-SRG,6/4/2025,NW,299,MES,64.9,9,3.5,3.8,5
US-SRG,6/4/2025,NW,299,,,,2.8,,
US-SRG,6/4/2025,NW,300,MES,72.4,8,4.4,4.4,2
US-SRG,6/4/2025,NW,300,,,,3.4,,
US-SRG,6/4/2025,NW,301,MES,73.52,3,1,1.1,2
US-SRG,6/4/2025,NW,301,,,,1.2,,
US-SRG,6/4/2025,NW,302,CHO,24.3,2,0.6,0.7,2
US-SRG,6/4/2025,NW,302,,,,0.3,,
US-SRG,6/4/2025,NW,303,MES,29.15,16,3.1,4.3,1
US-SRG,6/4/2025,NW,303,,,,5,,
US-SRG,6/4/2025,NW,304,MES,37.92,2.5,1.8,2.4,7
US-SRG,6/4/2025,NW,304,,,,2,,
US-SRG,6/4/2025,NW,305,MES,39.25,40,6,4.5,1
US-SRG,6/4/2025,NW,305,,,,6.8,,
US-SRG,6/4/2025,NW,306,MES,49.22,1.2,1.4,0.7,3
US-SRG,6/4/2025,NW,306,,,,1,,
US-SRG,6/4/2025,NW,307,MES,51.5,17,3,3.4,2
US-SRG,6/4/2025,NW,307,,,,5.2,,
US-SRG,6/4/2025,NW,308,MES,57.48,2.6,1.2,1.4,3
US-SRG,6/4/2025,NW,308,,,,1.5,,
US-SRG,6/4/2025,NW,309,CHO,59.1,3,1,1.2,4
US-SRG,6/4/2025,NW,309,,,,1.1,,
US-SRG,6/4/2025,NW,310,MES,64.42,11,5,4.8,3
US-SRG,6/4/2025,NW,310,,,,6.2,,
US-SRG,6/4/2025,NW,311,MES,67.91,16,3.9,3.8,1
US-SRG,6/4/2025,NW,311,,,,6,,
US-SRG,6/4/2025,NW,312,MES,71.75,4.1,4.2,3,9
US-SRG,6/4/2025,NW,312,,,,2.8,,
US-SRG,6/4/2025,NW,313,MES,77,2,1.5,1.8,4
US-SRG,6/4/2025,NW,313,,,,1.8,,
US-SRG,6/4/2025,NW,314,MES,76.91,1.4,0.75,0.7,1
US-SRG,6/4/2025,NW,314,,,,0.5,,
US-SRG,6/4/2025,NW,315,MES,75.5,3.6,3,3.4,8
US-SRG,6/4/2025,NW,315,,,,2.9,,
US-SRG,6/4/2025,NW,316,MES,74.18,3.2,1.2,1.7,4
US-SRG,6/4/2025,NW,316,,,,1.2,,
US-SRG,6/4/2025,NW,317,MES,80.2,20,5.5,4.2,1
US-SRG,6/4/2025,NW,317,,,,5.8,,
US-SRG,6/4/2025,NW,318,MES,82.8,15,4.5,4.4,2
US-SRG,6/4/2025,NW,318,,,,4.8,,
US-SRG,6/4/2025,NW,319,MES,88.32,12,4.8,3.2,2
US-SRG,6/4/2025,NW,319,,,,6,,
US-SRG,6/4/2025,NW,320,MES,84.05,2.7,1.6,2,5
US-SRG,6/4/2025,NW,320,,,,1.5,,
US-SRG,6/4/2025,NW,321,MES,85.86,12,3.2,3,2
US-SRG,6/4/2025,NW,321,,,,5,,
US-SRG,6/4/2025,NW,322,MES,87.17,12,3.2,4,1
US-SRG,6/4/2025,NW,322,,,,4,,
US-SRG,6/4/2025,NW,323,MES,93.3,4.8,2.8,2.6,3
US-SRG,6/4/2025,NW,323,,,,3.2,,
US-SRG,6/4/2025,NW,324,MES,90.3,14,6.1,4.1,1
US-SRG,6/4/2025,NW,324,,,,4.8,,
US-SRG,6/4/2025,NW,325,MES,92.5,18,3.8,3.8,1
US-SRG,6/4/2025,NW,325,,,,5.3,,
US-SRG,6/4/2025,NW,326,MES,93.51,11,3.9,2.9,1
US-SRG,6/4/2025,NW,326,,,,2.5,,
US-SRG,6/4/2025,NW,327,MES,98.62,3.2,1.1,1.3,2
US-SRG,6/4/2025,NW,327,,,,1.3,,
US-SRG,6/4/2025,NW,328,MES,23.3,8,3.7,3.3,4
US-SRG,6/4/2025,NW,328,,,,4.1,,
US-SRG,6/4/2025,NW,329,CHO,23.1,2,0.3,0.5,1
US-SRG,6/4/2025,NW,329,,,,0.2,,
US-SRG,6/4/2025,NW,330,CHO,39.76,3,0.5,0.9,3
US-SRG,6/4/2025,NW,330,,,,0.8,,
US-SRG,6/4/2025,NW,331,MES,43.08,2.9,2.1,2.7,2
US-SRG,6/4/2025,NW,331,,,,1.5,,
US-SRG,6/4/2025,NW,332,CHO,42.44,1,0.2,0.3,2
US-SRG,6/4/2025,NW,332,,,,0.2,,
US-SRG,6/4/2025,NW,333,MES,45.24,2.6,0.8,1.1,1
US-SRG,6/4/2025,NW,333,,,,0.1,,
US-SRG,6/4/2025,NW,334,CHO,54.49,1,0.3,4,1
US-SRG,6/4/2025,NW,334,,,,0.2,,
US-SRG,6/4/2025,NW,335,MES,61.84,6,3,3.2,7
US-SRG,6/4/2025,NW,335,,,,3.8,,
US-SRG,6/4/2025,NW,336,MES,63.96,6,3.9,3.1,4
US-SRG,6/4/2025,NW,336,,,,3,,
US-SRG,6/4/2025,NW,337,MES,66.41,17,4,5.3,1
US-SRG,6/4/2025,NW,337,,,,5.1,,
US-SRG,6/4/2025,NW,338,MES,70.35,20,3.3,4.5,1
US-SRG,6/4/2025,NW,338,,,,5.2,,
US-SRG,6/4/2025,NW,339,MES,75.13,30,4.8,4.3,1
US-SRG,6/4/2025,NW,339,,,,4.5,,
US-SRG,6/4/2025,NW,340,MES,78.72,12,2.8,3.9,1
US-SRG,6/4/2025,NW,340,,,,4,,
US-SRG,6/4/2025,NW,341,MES,83.68,28,5.9,4.1,1
US-SRG,6/4/2025,NW,341,,,,7,,
US-SRG,6/4/2025,NW,342,MES,86.18,2.9,1.9,2.6,3
US-SRG,6/4/2025,NW,342,,,,2,,
US-SRG,6/4/2025,NW,343,MES,88.3,3.9,3,2.8,7
US-SRG,6/4/2025,NW,343,,,,2.8,,
US-SRG,6/4/2025,NW,344,MES,92.11,2.6,3.8,2.5,6
US-SRG,6/4/2025,NW,344,,,,3,,
US-SRG,6/4/2025,NW,345,MES,93.52,2.6,2.5,2.4,6
US-SRG,6/4/2025,NW,345,,,,2.3,,
US-SRG,6/4/2025,NW,346,MES,94.78,14,3.2,4.3,1
US-SRG,6/4/2025,NW,346,,,,3.5,,
US-SRG,6/4/2025,NW,347,MES,91.36,2.8,3.8,2.8,4
US-SRG,6/4/2025,NW,347,,,,1.8,,
US-SRG,6/4/2025,NW,348,MES,90.37,3,1.8,1.2,4
US-SRG,6/4/2025,NW,348,,,,1.5,,
US-SRG,6/4/2025,NW,349,MES,92.16,2.7,1,1.7,4
US-SRG,6/4/2025,NW,349,,,,1.8,,
US-SRG,6/4/2025,NW,350,MES,93.89,2.9,0.8,2,1
US-SRG,6/4/2025,NW,350,,,,1,,
US-SRG,6/4/2025,NW,351,MES,93.89,3.4,1,1.5,2
US-SRG,6/4/2025,NW,351,,,,1.2,,
US-SRG,6/4/2025,NW,352,MES,94.73,32,10.1,5.1,1
US-SRG,6/4/2025,NW,352,,,,9.5,,
US-SRG,6/4/2025,NW,353,MES,99.61,1.1,0.5,0.6,2
US-SRG,6/4/2025,NW,353,,,,0.6,,
US-SRG,6/4/2025,NW,354,MES,6.56,1.5,1.8,2,6
US-SRG,6/4/2025,NW,354,,,,2,,
US-SRG,6/4/2025,NW,355,CHO,30.78,4,1,1.2,1
US-SRG,6/4/2025,NW,355,,,,0.6,,
US-SRG,6/4/2025,NW,356,MES,37.05,3.3,1.3,1.3,2
US-SRG,6/4/2025,NW,356,,,,1.5,,
US-SRG,6/4/2025,NW,357,MES,41.09,3.7,3,2.7,10
US-SRG,6/4/2025,NW,357,,,,3,,
US-SRG,6/4/2025,NW,358,MES,41.09,2.1,1.2,1.3,3
US-SRG,6/4/2025,NW,358,,,,1,,
US-SRG,6/4/2025,NW,359,CHO,42.36,2.5,0.4,0.5,2
US-SRG,6/4/2025,NW,359,,,,0.3,,
US-SRG,6/4/2025,NW,360,MES,37.34,24,3.9,4.6,1
US-SRG,6/4/2025,NW,360,,,,3.8,,
US-SRG,6/4/2025,NW,361,MES,49.08,5.1,3.2,3.3,7
US-SRG,6/4/2025,NW,361,,,,2.8,,
US-SRG,6/4/2025,NW,362,MES,50.13,5.8,4.3,4,9
US-SRG,6/4/2025,NW,362,,,,4,,
US-SRG,6/4/2025,NW,363,MES,50.48,5.2,2,3.5,3
US-SRG,6/4/2025,NW,363,,,,1.7,,
US-SRG,6/4/2025,NW,364,CHO,55.23,4,0.8,1,1
US-SRG,6/4/2025,NW,364,,,,0.6,,
US-SRG,6/4/2025,NW,365,MES,55.02,21,3.8,3.7,7
US-SRG,6/4/2025,NW,365,,,,4,,
US-SRG,6/4/2025,NW,366,MES,54.31,24,3.6,4,1
US-SRG,6/4/2025,NW,366,,,,3.8,,
US-SRG,6/4/2025,NW,367,MES,61.62,2.5,1.4,1,1
US-SRG,6/4/2025,NW,367,,,,0.6,,
US-SRG,6/4/2025,NW,368,MES,68.35,4.5,3.3,2.9,3
US-SRG,6/4/2025,NW,368,,,,3.5,,
US-SRG,6/4/2025,NW,369,CHO,70.49,4.5,1.1,3.4,2
US-SRG,6/4/2025,NW,369,,,,1,,
US-SRG,6/4/2025,NW,370,MES,64.95,10,3.1,3.6,5
US-SRG,6/4/2025,NW,370,,,,2.5,,
US-SRG,6/4/2025,NW,371,MES,65.78,21,5.1,4.5,2
US-SRG,6/4/2025,NW,371,,,,5,,
US-SRG,6/4/2025,NW,372,CHO,64.95,3,0.6,0.85,1
US-SRG,6/4/2025,NW,372,,,,0.5,,
US-SRG,6/4/2025,NW,373,MES,74.92,2.1,1.2,1,2
US-SRG,6/4/2025,NW,373,,,,1.2,,
US-SRG,6/4/2025,NW,374,MES,75.49,22,4.8,4.1,2
US-SRG,6/4/2025,NW,374,,,,4.2,,
US-SRG,6/4/2025,NW,375,MES,77.35,11,2,3.1,1
US-SRG,6/4/2025,NW,375,,,,2.9,,
US-SRG,6/4/2025,NW,376,MES,79.61,27,2.5,3.9,1
US-SRG,6/4/2025,NW,376,,,,6,,
US-SRG,6/4/2025,NW,377,MES,78.45,17,5,5.3,2
US-SRG,6/4/2025,NW,377,,,,4.8,,
US-SRG,6/4/2025,NW,378,BAR,79.38,45,0.4,0.4,1
US-SRG,6/4/2025,NW,378,,,,0.4,,
US-SRG,6/4/2025,NW,379,MES,75.88,27,5.3,4.9,1
US-SRG,6/4/2025,NW,379,,,,6.8,,
US-SRG,6/4/2025,NW,380,MES,82.07,6,2,2.6,6
US-SRG,6/4/2025,NW,380,,,,3,,
US-SRG,6/4/2025,NW,381,MES,80.44,3.9,2.4,2.8,4
US-SRG,6/4/2025,NW,381,,,,2.7,,
US-SRG,6/4/2025,NW,382,MES,84.28,4,3,2.7,10
US-SRG,6/4/2025,NW,382,,,,2.8,,
US-SRG,6/4/2025,NW,383,MES,85,7.2,3.2,3.3,8
US-SRG,6/4/2025,NW,383,,,,3,,
US-SRG,6/4/2025,NW,384,CHO,84.97,2.5,0.3,0.6,1
US-SRG,6/4/2025,NW,384,,,,0.2,,
US-SRG,6/4/2025,NW,385,BRTB,86.78,0.4,0.7,0.5,
US-SRG,6/4/2025,NW,385,,,,0.7,,
US-SRG,6/4/2025,NW,386,CHAC,92.55,2.8,2.3,2.6,6
US-SRG,6/4/2025,NW,386,,,,2.1,,
US-SRG,6/4/2025,NW,387,MES,97.1,3.5,1.8,2.3,3
US-SRG,6/4/2025,NW,387,,,,2,,
US-SRG,6/4/2025,NW,388,MES,99.17,2.9,2.9,2.3,2
US-SRG,6/4/2025,NW,388,,,,2.8,,
US-SRG,6/4/2025,NW,389,MES,16.42,36,4,6.1,1
US-SRG,6/4/2025,NW,389,,,,6.5,,
US-SRG,6/4/2025,NW,390,GTN,16.32,5.5,3,3.8,100
US-SRG,6/4/2025,NW,390,,,,3.6,,
US-SRG,6/4/2025,NW,391,CHAC,23.73,0.3,0.5,0.5,10
US-SRG,6/4/2025,NW,391,,,,0.3,,
US-SRG,6/4/2025,NW,392,CHO,26.38,0.25,0.8,0.3,2
US-SRG,6/4/2025,NW,392,,,,0.36,,
US-SRG,6/4/2025,NW,393,MES,44.52,4.6,3.5,2.9,6
US-SRG,6/4/2025,NW,393,,,,3.2,,
US-SRG,6/4/2025,NW,394,MES,49.63,4.5,1.9,2.3,5
US-SRG,6/4/2025,NW,394,,,,2,,
US-SRG,6/4/2025,NW,395,BRTB,41.58,0.6,0.6,0.6,
US-SRG,6/4/2025,NW,395,,,,0.4,,
US-SRG,6/4/2025,NW,396,MES,50.21,2.6,1.8,2.2,4
US-SRG,6/4/2025,NW,396,,,,2,,
US-SRG,6/4/2025,NW,397,MES,54.48,8,3.8,3,5
US-SRG,6/4/2025,NW,397,,,,4.2,,
US-SRG,6/4/2025,NW,398,CHO,57.8,5,0.7,0.9,1
US-SRG,6/4/2025,NW,398,,,,0.3,,
US-SRG,6/4/2025,NW,399,MES,63.19,23,4.5,4.6,1
US-SRG,6/4/2025,NW,399,,,,3.8,,
US-SRG,6/4/2025,NW,400,MES,64.8,3.9,2,1.9,2
US-SRG,6/4/2025,NW,401,,,,1.9,,
US-SRG,6/4/2025,NW,401,CHO,76.7,3,0.6,1,4
US-SRG,6/4/2025,NW,402,,,,0.5,,
US-SRG,6/4/2025,NW,402,MES,79.28,24,5,4.9,2
US-SRG,6/4/2025,NW,403,,,,4.2,,
US-SRG,6/4/2025,NW,403,MES,90.78,4.3,2.9,1.9,6
US-SRG,6/4/2025,NW,404,,,,2.8,,
US-SRG,6/4/2025,NW,405,MES,92.54,6.3,3.1,3.2,5
US-SRG,6/4/2025,NW,405,,,,3.3,,
US-SRG,6/4/2025,NW,406,MES,98.48,2.9,2,1.4,2
US-SRG,6/4/2025,NW,406,,,,1.7,,
US-SRG,6/4/2025,NW,407,MES,100,4.4,2,1.5,3
US-SRG,6/4/2025,NW,407,,,,2,,
US-SRG,6/4/2025,NW,408,MES,13.72,22,1.3,1,2
US-SRG,6/4/2025,NW,408,,,,1,,
US-SRG,6/4/2025,NW,409,CHO,35,4,1,0.85,3
US-SRG,6/4/2025,NW,409,,,,1.5,,
US-SRG,6/4/2025,NW,410,MES,37.1,3.4,2.8,3.8,6
US-SRG,6/4/2025,NW,410,,,,3,,
US-SRG,6/4/2025,NW,411,MES,40.93,4.9,2.8,3.4,7
